date,rate
2013-08-15,0.216905
2013-08-16,0.216042
2013-08-17,0.215787
2013-08-20,0.215822
2013-08-21,0.216404
2013-08-22,0.216271
2013-08-23,0.217723
2013-08-24,0.217126
2013-08-27,0.216462
2013-08-28,0.217410
2013-08-29,0.217787
2013-08-30,0.216930
2013-08-31,0.216899
2013-09-03,0.217051
2013-09-04,0.217680
2013-09-05,0.218458
2013-09-06,0.218307
2013-09-07,0.218550
2013-09-10,0.217529
2013-09-11,0.215347
2013-09-12,0.214560
2013-09-13,0.213090
2013-09-14,0.213558
2013-09-17,0.210473
2013-09-18,0.210729
2013-09-19,0.210134
2013-09-20,0.206533
2013-09-21,0.207362
2013-09-24,0.208566
2013-09-25,0.207952
2013-09-26,0.207811
2013-09-27,0.209539
2013-09-28,0.210388
2013-10-01,0.211209
2013-10-02,0.209895
2013-10-03,0.209631
2013-10-04,0.208475
2013-10-05,0.208201
2013-10-08,0.209288
2013-10-09,0.209187
2013-10-10,0.209747
2013-10-11,0.209712
2013-10-12,0.209089
2013-10-15,0.210204
2013-10-16,0.209830
2013-10-17,0.210220
2013-10-18,0.208525
2013-10-19,0.206792
2013-10-22,0.207158
2013-10-23,0.207651
2013-10-24,0.206410
2013-10-25,0.205870
2013-10-26,0.205905
2013-10-29,0.206069
2013-10-30,0.206894
2013-10-31,0.207718
2013-11-01,0.208014
2013-11-02,0.208560
2013-11-06,0.210003
2013-11-07,0.211009
2013-11-08,0.210741
2013-11-09,0.211900
2013-11-12,0.213346
2013-11-13,0.214065
2013-11-14,0.214324
2013-11-15,0.213448
2013-11-16,0.213195
2013-11-19,0.212404
2013-11-20,0.213066
2013-11-21,0.214089
2013-11-22,0.216051
2013-11-23,0.215308
2013-11-26,0.214703
2013-11-27,0.215600
2013-11-28,0.215073
2013-11-29,0.215318
2013-11-30,0.215663
2013-12-03,0.214843
2013-12-04,0.215317
2013-12-05,0.215289
2013-12-06,0.214698
2013-12-07,0.213609
2013-12-10,0.212694
2013-12-11,0.212289
2013-12-12,0.211806
2013-12-13,0.212329
2013-12-14,0.213369
2013-12-17,0.213352
2013-12-18,0.213351
2013-12-19,0.213836
2013-12-20,0.214257
2013-12-21,0.214628
2013-12-24,0.214403
2013-12-25,0.212052
2013-12-26,0.211894
2013-12-27,0.212356
2013-12-28,0.212216
2013-12-31,0.213088
2014-01-01,0.211760
2014-01-10,0.214573
2014-01-11,0.214836
2014-01-14,0.214101
2014-01-15,0.214789
2014-01-16,0.215132
2014-01-17,0.215215
2014-01-18,0.215448
2014-01-21,0.216646
2014-01-22,0.217775
2014-01-23,0.218276
2014-01-24,0.219542
2014-01-25,0.220648
2014-01-28,0.223462
2014-01-29,0.222963
2014-01-30,0.222265
2014-01-31,0.226691
2014-02-01,0.226231
2014-02-04,0.226524
2014-02-05,0.227763
2014-02-06,0.224601
2014-02-07,0.223329
2014-02-08,0.222515
2014-02-11,0.223266
2014-02-12,0.223678
2014-02-13,0.188347
2014-02-14,0.188908
2014-02-15,0.191079
2014-02-18,0.190148
2014-02-19,0.190964
2014-02-20,0.192793
2014-02-21,0.192845
2014-02-22,0.193413
2014-02-25,0.192295
2014-02-26,0.192869
2014-02-27,0.193685
2014-02-28,0.195924
2014-03-01,0.196347
2014-03-04,0.198605
2014-03-05,0.199335
2014-03-06,0.198084
2014-03-07,0.198402
2014-03-08,0.199137
2014-03-12,0.199893
2014-03-13,0.200233
2014-03-14,0.200184
2014-03-15,0.201270
2014-03-18,0.201271
2014-03-19,0.200185
2014-03-20,0.198929
2014-03-21,0.198255
2014-03-22,0.199688
2014-03-25,0.198389
2014-03-26,0.197101
2014-03-27,0.194697
2014-03-28,0.195393
2014-03-29,0.196029
2014-04-01,0.195537
2014-04-02,0.192344
2014-04-03,0.193680
2014-04-04,0.195118
2014-04-05,0.194964
2014-04-08,0.194846
2014-04-09,0.195284
2014-04-10,0.196365
2014-04-11,0.195337
2014-04-12,0.195682
2014-04-15,0.197677
2014-04-16,0.197520
2014-04-17,0.198184
2014-04-18,0.197351
2014-04-19,0.195215
2014-04-22,0.195902
2014-04-23,0.195998
2014-04-24,0.195932
2014-04-25,0.196034
2014-04-26,0.197406
2014-04-29,0.197866
2014-04-30,0.196107
2014-05-01,0.196219
2014-05-06,0.196848
2014-05-07,0.195907
2014-05-08,0.194980
2014-05-09,0.192443
2014-05-13,0.193425
2014-05-14,0.191637
2014-05-15,0.190635
2014-05-16,0.190584
2014-05-17,0.191043
2014-05-20,0.190708
2014-05-21,0.189785
2014-05-22,0.189203
2014-05-23,0.187770
